Time A1 (s),Pressure A1 (mmHg),Volume A1 (μl)
3.157,6.24534,37.8664
3.158,6.25946,37.9688
3.159,6.27412,38.1044
3.160,6.27378,38.2816
3.161,6.28734,38.4768
3.162,6.27474,38.7463
3.163,6.2657,38.9521
3.164,6.2732,39.0423
3.165,6.27424,39.0616
3.166,6.27967,38.8849
3.167,6.30608,38.6749
3.168,6.33514,38.4399
3.169,6.41963,38.1612
3.170,6.59932,37.92
3.171,6.94222,37.7112
3.172,7.49458,37.5542
3.173,8.43257,37.5815
3.174,9.90581,37.7219
3.175,12.6483,38.0085
3.176,17.2206,38.4104
3.177,22.8441,38.8181
3.178,29.1931,39.3122
3.179,35.9561,39.7952
3.180,42.7568,40.2627
3.181,49.3397,40.6308
3.182,55.6535,40.8715
3.183,61.7319,41.0099
3.184,67.6966,41.061
3.185,73.6047,40.9675
3.186,79.208,40.8005
3.187,83.9662,40.4692
3.188,87.4075,40.0647
3.189,89.6874,39.6885
3.190,91.0264,39.2991
3.191,91.8001,38.9546
3.192,92.2726,38.5918
3.193,92.6195,38.193
3.194,92.8708,37.774
3.195,93.0754,37.2698
3.196,93.1958,36.7136
3.197,93.2526,36.0803
3.198,93.1704,35.345
3.199,92.9301,34.505
3.200,92.5436,33.5656
3.201,92.0309,32.5352
3.202,91.3836,31.4124
3.203,90.6473,30.1144
3.204,89.7861,28.7673
3.205,88.8476,27.4531
3.206,87.7911,26.2169
3.207,86.602,25.2299
3.208,85.3401,24.3604
3.209,84.0759,23.6609
3.210,82.7394,23.0829
3.211,81.4087,22.5794
3.212,80.0309,22.1802
3.213,78.6381,21.827
3.214,77.1594,21.5336
3.215,75.5234,21.2397
3.216,73.5355,20.9508
3.217,70.8966,20.6706
3.218,66.1562,20.4114
3.219,59.4427,20.0929
3.220,53.5618,19.803
3.221,48.3961,19.5278
3.222,43.3425,19.3468
3.223,38.2938,19.2934
3.224,33.373,19.3289
3.225,28.8727,19.4472
3.226,24.7253,19.6218
3.227,20.9233,19.853
3.228,17.4341,20.1541
3.229,14.3087,20.4862
3.230,11.531,20.8547
3.231,9.11577,21.1362
3.232,7.03375,21.3909
3.233,5.30283,21.6267
3.234,3.93564,21.8546
3.235,2.92707,22.0859
3.236,2.22994,22.3411
3.237,1.80288,22.5934
3.238,1.55087,22.8954
3.239,1.45053,23.2438
3.240,1.44957,23.6511
3.241,1.53724,24.1408
3.242,1.60202,24.6827
3.243,1.67974,25.3288
3.244,1.73679,26.0304
3.245,1.81456,26.7897
3.246,1.88544,27.5596
3.247,1.9726,28.2366
3.248,2.06428,28.8675
3.249,2.17427,29.379
3.250,2.29314,29.8271
3.251,2.42742,30.2844
3.252,2.59675,30.7279
3.253,2.77317,31.1264
3.254,2.94814,31.516
3.255,3.08753,31.8935
3.256,3.24072,32.3104
3.257,3.38855,32.7841
3.258,3.51638,33.27
3.259,3.64498,33.8138
3.260,3.7743,34.3659
3.261,3.9292,34.9816
3.262,4.02614,35.5661
3.263,4.14276,36.0727
3.264,4.25385,36.4984
3.265,4.3663,36.7069
3.266,4.43796,36.834
3.267,4.52716,36.8954
3.268,4.60116,36.9031
3.269,4.68751,36.9183
3.270,4.75083,36.9042
3.271,4.81278,36.8444
3.272,4.86621,36.852
3.273,4.91393,36.8994
3.274,4.95819,37.0062
3.275,4.99941,37.2042
3.276,5.04317,37.4134
3.277,5.09263,37.6757
3.278,5.12265,37.9331
3.279,5.17258,38.2244
3.280,5.20587,38.4785
3.281,5.23627,38.5713
3.282,5.26024,38.592
3.283,5.28482,38.467
3.284,5.31321,38.2563
3.285,5.38885,38.003
3.286,5.53233,37.6952
3.287,5.81363,37.3783
3.288,6.28967,37.1289
3.289,7.10349,36.9307
3.290,8.36461,36.8932
3.291,10.5064,37.0064
3.292,14.6249,37.1505
3.293,20.1668,37.3801
3.294,26.2578,37.6478
3.295,32.8331,38.0398
3.296,39.4833,38.409
3.297,45.9517,38.7204
3.298,52.1751,38.9613
3.299,58.0857,39.0824
3.300,63.8118,39.1004
3.301,69.4508,39.0712
3.302,74.9575,38.8905
3.303,80.1375,38.6553
3.304,84.3282,38.321
3.305,87.2888,37.9202
3.306,89.1814,37.6017
3.307,90.2462,37.3236
3.308,90.8099,37.0685
3.309,91.1625,36.8289
3.310,91.3923,36.5019
3.311,91.543,36.1567
3.312,91.6493,35.7401
3.313,91.702,35.2723
3.314,91.6523,34.732
3.315,91.5089,34.0703
