Time C2,Pressure C2, Volume C2
10.8,4.20144,42.0552
10.81666667,4.19196,42.6493
10.83333333,4.20555,43.2686
10.85,4.19595,43.9271
10.86666667,4.20399,44.5944
10.88333333,4.22421,45.2385
10.9,4.26565,45.9013
10.91666667,4.3861,46.5832
10.93333333,4.65487,47.2412
10.95,5.14833,47.8833
10.96666667,5.94192,48.511
10.98333333,7.08944,49.1214
11,8.73402,49.7079
11.01666667,11.4826,50.2625
11.03333333,15.4988,50.7067
11.05,19.7167,51.0796
11.06666667,24.0727,51.4087
11.08333333,28.5767,51.6812
11.1,32.8711,51.8513
11.11666667,36.8119,51.9218
11.13333333,40.4386,51.8508
11.15,43.6409,51.6735
11.16666667,46.3551,51.371
11.18333333,48.6114,50.953
11.2,50.3846,50.4011
11.21666667,51.8094,49.7368
11.23333333,52.9822,49.0043
11.25,53.9221,48.1677
11.26666667,54.6808,47.1476
11.28333333,55.2864,45.982
11.3,55.7613,44.6941
11.31666667,56.0763,43.2997
11.33333333,56.2741,41.8591
11.35,56.3231,40.3529
11.36666667,56.2602,38.8013
11.38333333,56.0563,37.2254
11.4,55.7252,35.6858
11.41666667,55.285,34.1819
11.43333333,54.7544,32.8127
11.45,54.1033,31.5024
11.46666667,53.4315,30.2028
11.48333333,52.7167,28.976
11.5,52.0239,27.818
11.51666667,51.4218,26.7193
11.53333333,50.9852,25.6363
11.55,50.6575,24.6245
11.56666667,50.3186,23.7093
11.58333333,49.8593,22.8859
11.6,49.2548,22.109
11.61666667,48.5145,21.4167
11.63333333,47.621,20.7841
11.65,46.5261,20.2401
11.66666667,45.2685,19.7423
11.68333333,43.8827,19.3172
11.7,42.4027,18.9216
11.71666667,40.7459,18.5921
11.73333333,38.797,18.2903
11.75,36.0102,18.0388
11.76666667,32.9591,17.8062
11.78333333,30.3,17.6316
11.8,27.9427,17.4736
11.81666667,25.6036,17.3498
11.83333333,23.1717,17.229
11.85,20.6526,17.1406
11.86666667,18.3871,17.0374
11.88333333,16.6093,16.9504
11.9,15.1608,16.8482
11.91666667,13.8702,16.7507
11.93333333,12.7277,16.6574
11.95,11.6422,16.6014
11.96666667,10.643,16.5718
11.98333333,9.76879,16.5782
12,8.73681,16.6182
12.01666667,7.63543,16.6941
12.03333333,6.57735,16.8044
12.05,5.60518,16.9529
12.06666667,4.74682,17.1285
12.08333333,4.04939,17.3404
12.1,3.55067,17.5842
12.11666667,3.24172,17.8576
12.13333333,3.12192,18.1374
12.15,3.15929,18.4235
12.16666667,3.32801,18.711
12.18333333,3.49143,19.0186
12.2,3.60016,19.3464
12.21666667,3.60519,19.6969
12.23333333,3.61286,20.0488
12.25,3.59582,20.4005
12.26666667,3.5712,20.7426
12.28333333,3.53626,21.0867
12.3,3.5101,21.4234
12.31666667,3.4806,21.7588
12.33333333,3.46087,22.089
12.35,3.45207,22.4236
12.36666667,3.4375,22.7461
12.38333333,3.41998,23.0662
12.4,3.43519,23.3675
12.41666667,3.45029,23.673
12.43333333,3.46176,23.9788
12.45,3.46404,24.2872
12.46666667,3.49811,24.5862
12.48333333,3.50761,24.8957
12.5,3.5232,25.2041
12.51666667,3.51401,25.5143
12.53333333,3.51691,25.8015
12.55,3.52982,26.1039
12.56666667,3.5674,26.4098
12.58333333,3.58101,26.7555
12.6,3.60049,27.148
12.61666667,3.62897,27.5681
12.63333333,3.67457,27.9855
12.65,3.69942,28.4293
12.66666667,3.7404,28.893
12.68333333,3.76274,29.3882
12.7,3.80208,29.8931
12.71666667,3.82771,30.4248
12.73333333,3.85474,30.9863
12.75,3.88996,31.5734
12.76666667,3.91442,32.1526
12.78333333,3.94788,32.7407
12.8,3.9692,33.2846
12.81666667,3.97716,33.8595
12.83333333,4.00455,34.5152
12.85,4.00689,35.1897
12.86666667,4.04105,35.808
12.88333333,4.05649,36.4175
12.9,4.0709,37.0657
12.91666667,4.0767,37.7234
12.93333333,4.09329,38.312
12.95,4.09934,38.8844
12.96666667,4.10618,39.3881
12.98333333,4.10131,39.8967
13,4.11332,40.3889
13.01666667,4.1191,40.9053
13.03333333,4.10112,41.4938
13.05,4.10176,42.1002
13.06666667,4.11901,42.6656
13.08333333,4.1252,43.2454
13.1,4.15361,43.8646
13.11666667,4.20379,44.499
13.13333333,4.34415,45.179
13.15,4.63619,45.8343
13.16666667,5.13014,46.4351
13.18333333,5.93988,47.008
13.2,7.12773,47.6218
13.21666667,8.75979,48.1962
13.23333333,11.5019,48.7142
13.25,15.5201,49.1853
13.26666667,19.7563,49.6757
13.28333333,24.0731,50.0731
13.3,28.5327,50.3989
13.31666667,32.8323,50.6198
13.33333333,36.793,50.7498
13.35,40.3897,50.7534
13.36666667,43.573,50.659
