Time C2,Pressure C2, Volume C2
1.076,55.1766,42.6116
1.077,55.4975,41.372
1.078,55.6833,40.0508
1.079,55.7443,38.6572
1.08,55.6885,37.2079
1.081,55.4861,35.7157
1.082,55.1567,34.1969
1.083,54.7141,32.7792
1.084,54.1983,31.5126
1.085,53.59,30.3256
1.086,52.9375,29.2477
1.087,52.2126,28.2184
1.088,51.5184,27.238
1.089,50.9788,26.2881
1.09,50.5632,25.3633
1.091,50.2496,24.3995
1.092,49.8909,23.4155
1.093,49.3756,22.5899
1.094,48.7142,21.9422
1.095,47.9044,21.3371
1.096,46.9119,20.7838
1.097,45.7606,20.2562
1.098,44.491,19.7664
1.099,43.0742,19.3198
1.1,41.5371,18.9244
1.101,39.8585,18.5832
1.102,37.7713,18.3082
1.103,34.8091,18.0413
1.104,31.8541,17.7892
1.105,29.3021,17.5735
1.106,26.9752,17.4102
1.107,24.6189,17.2704
1.108,22.108,17.1584
1.109,19.6529,17.054
1.11,17.6052,16.9548
1.111,15.9994,16.8626
1.112,14.644,16.7743
1.113,13.4115,16.6901
1.114,12.3261,16.61
1.115,11.3229,16.557
1.116,10.3556,16.527
1.117,9.514,16.5373
1.118,8.53336,16.5851
1.119,7.42197,16.6694
1.12,6.36788,16.774
1.121,5.39358,16.9147
1.122,4.56721,17.0836
1.123,3.94682,17.2971
1.124,3.51853,17.556
1.125,3.26318,17.843
1.126,3.23168,18.1552
1.127,3.35827,18.4692
1.128,3.50905,18.7936
1.129,3.61614,19.1253
1.13,3.66028,19.4562
1.131,3.65136,19.8093
1.132,3.65487,20.1625
1.133,3.63663,20.5339
1.134,3.59429,20.9257
1.135,3.54074,21.3158
1.136,3.51704,21.678
1.137,3.49885,22.0313
1.138,3.48343,22.3427
1.139,3.47276,22.6578
1.14,3.46494,22.9681
1.141,3.46675,23.2986
1.142,3.48107,23.637
1.143,3.48339,23.9857
1.144,3.49537,24.3275
1.145,3.50889,24.6813
1.146,3.5109,25.0009
1.147,3.53162,25.3305
1.148,3.5505,25.656
1.149,3.56158,26.0031
1.15,3.56698,26.3487
1.151,3.57854,26.736
1.152,3.59409,27.144
1.153,3.62465,27.5965
1.154,3.63854,28.0728
1.155,3.6703,28.5771
1.156,3.7056,29.0755
1.157,3.74597,29.603
1.158,3.79404,30.1368
1.159,3.82966,30.6865
1.16,3.84322,31.2277
1.161,3.8775,31.8086
1.162,3.89924,32.4016
1.163,3.92206,33.0312
1.164,3.93604,33.6683
1.165,3.97532,34.3168
1.166,3.97981,34.9561
1.167,4.00069,35.6241
1.168,4.0287,36.312
1.169,4.05387,36.9967
1.17,4.04825,37.669
1.171,4.06802,38.3425
1.172,4.08429,39.0055
1.173,4.08737,39.6355
1.174,4.09312,40.1826
1.175,4.11664,40.7573
1.176,4.11103,41.3929
1.177,4.11749,41.9294
1.178,4.09721,42.3006
1.179,4.12188,42.7675
1.18,4.11301,43.3136
1.181,4.1072,43.8775
1.182,4.12295,44.4323
1.183,4.12702,44.9742
1.184,4.15812,45.4926
1.185,4.23747,46.0109
1.186,4.41422,46.5295
1.187,4.79753,47.079
1.188,5.41852,47.6196
1.189,6.39366,48.1991
1.19,7.72056,48.8056
1.191,9.74205,49.3817
1.192,13.1481,49.9007
1.193,17.3457,50.3719
1.194,21.5708,50.7811
1.195,26.0102,51.113
1.196,30.4766,51.3675
1.197,34.6585,51.5115
1.198,38.5041,51.5253
1.199,41.9808,51.4341
1.2,44.987,51.2376
1.201,47.5681,50.9557
1.202,49.6167,50.5681
