Time C1,Pressure C1, Volume C1,Time C2,Pressure C2, Volume C2,Time C3,Pressure C3, Volume C3
0.555,17.3531,37.2312,0.37,3.89914,32.7283,2.627,49.0921,34.8131
0.556,23.0953,37.9581,0.371,3.92145,33.2246,2.628,52.6748,34.2909
0.557,29.7005,38.6601,0.372,3.92707,33.7676,2.629,55.7888,33.752
0.558,36.6438,39.2879,0.373,3.93843,34.3509,2.63,58.4375,33.1943
0.559,43.6718,39.8557,0.374,3.9697,34.9211,2.631,60.6219,32.6019
0.56,50.8561,40.3047,0.375,3.97036,35.4724,2.632,62.4488,31.9745
0.561,57.5348,40.6802,0.376,3.98738,36.0307,2.633,63.9669,31.3229
0.562,63.0338,40.9575,0.377,3.98888,36.5829,2.634,65.2172,30.6619
0.563,67.3,41.1607,0.378,4.01545,37.0826,2.635,66.2036,29.9585
0.564,70.4345,41.2214,0.379,4.00768,37.5332,2.636,67.0015,29.185
0.565,72.4947,41.1667,0.38,3.99593,38.0155,2.637,67.6014,28.3931
0.566,73.8755,40.9524,0.381,4.0097,38.5233,2.638,68.0568,27.6049
0.567,74.9331,40.599,0.382,4.01086,39.05,2.639,68.3518,26.7928
0.568,75.8395,40.0698,0.383,4.02212,39.5828,2.64,68.4962,25.9429
0.569,76.7068,39.3933,0.384,4.03278,40.1714,2.641,68.4847,25.0628
0.57,77.5291,38.5614,0.385,4.01166,40.7854,2.642,68.3478,24.1403
0.571,78.3446,37.5914,0.386,4.01873,41.3634,2.643,68.0704,23.1991
0.572,79.158,36.4581,0.387,4.0223,41.8865,2.644,67.6908,22.2427
0.573,79.914,35.1795,0.388,4.05227,42.3479,2.645,67.1412,21.281
0.574,80.6641,33.7605,0.389,4.11068,42.7759,2.646,66.4565,20.2895
0.575,81.3836,32.2167,0.39,4.30553,43.2508,2.647,65.6291,19.3307
0.576,82.0766,30.6485,0.391,4.63857,43.7417,2.648,64.6488,18.4316
0.577,82.7473,29.0261,0.392,5.21947,44.2546,2.649,63.4485,17.5861
