Time A1,Pressure A1,Volume A1,Time A2,Pressure A2,Volume A2,Time A3,Pressure A3,Volume A3
2.84,87.7025,37.7654,4.438,36.7402,35.1025,0.604,12.6728,21.5689
2.841,89.3966,37.5157,4.439,44.5116,35.7647,0.605,15.2829,21.5957
2.842,90.3342,37.2849,4.44,52.7602,36.41,0.606,18.3335,21.6202
2.843,90.8532,37.0073,4.441,61.4786,37.0088,0.607,21.7563,21.6513
2.844,91.1642,36.7354,4.442,70.7392,37.5532,0.608,25.4848,21.668
2.845,91.3603,36.4047,4.443,80.3095,38.0533,0.609,29.4488,21.684
2.846,91.4885,36.0416,4.444,89.4676,38.5116,0.61,33.6538,21.6667
2.847,91.591,35.5633,4.445,96.9069,38.926,0.611,38.0591,21.6214
2.848,91.6273,34.9655,4.446,101.402,39.3253,0.612,42.5653,21.5645
2.849,91.5721,34.2953,4.447,103.586,39.6956,0.613,46.9766,21.5029
2.85,91.3989,33.523,4.448,104.537,40.0005,0.614,51.057,21.4042
2.851,91.1032,32.6161,4.449,104.959,40.2717,0.615,54.6662,21.2827
2.852,90.6522,31.6136,4.45,105.475,40.4758,0.616,57.9216,21.1336
2.853,90.0791,30.4604,4.451,106.275,40.5938,0.617,60.8097,20.9675
2.854,89.387,29.227,4.452,107.352,40.5716,0.618,63.3506,20.7672
2.855,88.6151,27.991,4.453,108.478,40.4429,0.619,65.5843,20.5373
2.856,87.7559,26.7643,4.454,109.545,40.2145,0.62,67.5984,20.2927
2.857,86.7982,25.7587,4.455,110.401,39.8781,0.621,69.4666,20.0362
2.858,85.7325,24.8658,4.456,111.077,39.3709,0.622,71.2464,19.7471
2.859,84.607,24.099,4.457,111.592,38.7322,0.623,72.8695,19.4402
2.86,83.3877,23.4447,4.458,111.984,38.0195,0.624,74.3632,19.0799
2.861,82.1143,22.8642,4.459,112.251,37.2313,0.625,75.7129,18.6915
2.862,80.8002,22.3927,4.46,112.43,36.4041,0.626,76.9161,18.2648
2.863,79.5022,21.9761,4.461,112.52,35.4948,0.627,77.9617,17.8098
2.864,78.1618,21.6291,4.462,112.57,34.5148,0.628,78.8806,17.3318
2.865,76.7403,21.3228,4.463,112.55,33.501,0.629,79.6311,16.838
2.866,75.1262,21.0195,4.464,112.521,32.5151,0.63,80.2723,16.3376
2.867,73.1749,20.7302,4.465,112.545,31.5111,0.631,80.7812,15.8285
2.868,70.3846,20.4872,4.466,112.671,30.4871,0.632,81.1801,15.3226
2.869,65.3411,20.1812,4.467,112.879,29.4833,0.633,81.4547,14.8165
2.87,58.882,19.9133,4.468,113.202,28.5418,0.634,81.6225,14.3156
2.871,53.3825,19.6443,4.469,113.581,27.6335,0.635,81.6639,13.8307
2.872,48.3822,19.4388,4.47,114.126,26.8217,0.636,81.5739,13.3878
2.873,43.4815,19.3896,4.471,114.808,26.0625,0.637,81.336,12.9693
2.874,38.5707,19.4211,4.472,115.627,25.3263,0.638,80.9537,12.5855
2.875,33.7803,19.492,4.473,116.39,24.6236,0.639,80.4324,12.2388
2.876,29.3356,19.6302,4.474,117.01,23.9418,0.64,79.7688,11.916
2.877,25.2893,19.8395,4.475,117.263,23.2827,0.641,78.9538,11.6123
2.878,21.5249,20.1239,4.476,117.04,22.5962,0.642,78.009,11.252
2.879,18.0667,20.4207,4.477,116.222,21.9437,0.643,76.9111,10.8999
2.88,14.9135,20.7581,4.478,114.735,21.2942,0.644,75.6618,10.6046
2.881,12.1502,21.0386,4.479,112.305,20.668,0.645,74.2322,10.3519
2.882,9.71429,21.2612,4.48,108.047,20.041,0.646,72.6074,10.1363
2.883,7.62214,21.4598,4.481,99.3727,19.4533,0.647,70.7284,9.96203
2.884,5.87557,21.6384,4.482,88.2327,18.9141,0.648,68.5759,9.80864
2.885,4.4862,21.8123,4.483,77.7987,18.4244,0.649,66.0569,9.68904
2.886,3.45814,22.0211,4.484,68.2531,17.9588,0.65,63.2288,9.57796
2.887,2.75931,22.2161,4.485,59.1266,17.5405,0.651,60.0045,9.49698
2.888,2.3009,22.4448,4.486,50.8711,17.1755,0.652,56.3109,9.44836
2.889,2.04879,22.7404,4.487,43.5701,16.8645,0.653,52.0591,9.43116
2.89,1.92776,23.0879,4.488,37.0738,16.5908,0.654,47.2856,9.42528
2.891,1.92495,23.5327,4.489,31.3074,16.361,0.655,42.3118,9.4462
2.892,1.96632,24.0356,4.49,26.2805,16.1316,0.656,37.6505,9.48338
2.893,2.02008,24.6318,4.491,21.8973,15.9456,0.657,33.3777,9.54267
2.894,2.08593,25.301,4.492,18.1436,15.8003,0.658,29.4943,9.61578
2.895,2.14903,26.0396,4.493,14.9766,15.7135,0.659,25.895,9.71729
2.896,2.19603,26.8321,4.494,12.4128,15.665,0.66,22.653,9.84354
2.897,2.26665,27.5648,4.495,10.4645,15.659,0.661,19.7619,9.99258
2.898,2.32835,28.2308,4.496,9.15188,15.6755,0.662,17.2477,10.1537
2.899,2.41202,28.808,4.497,8.25174,15.7464,0.663,14.9865,10.3319
2.9,2.50744,29.3028,4.498,7.68585,15.8772,0.664,12.8756,10.5097
2.901,2.61832,29.78,4.499,7.27149,16.0543,0.665,10.9728,10.6951
2.902,2.74721,30.2433,4.5,6.95306,16.2531,0.666,9.383,10.8754
2.903,2.90947,30.6971,4.501,6.65742,16.4918,0.667,8.05431,11.0601
2.904,3.0523,31.1586,4.502,6.44824,16.767,0.668,6.95959,11.2474
2.905,3.20957,31.5734,4.503,6.31893,17.0713,0.669,6.08298,11.4392
2.906,3.35659,31.9814,4.504,6.21297,17.3891,0.67,5.43357,11.6322
2.907,3.50563,32.5011,4.505,6.09283,17.7233,0.671,4.98767,11.8302
2.908,3.64118,33.0543,4.506,6.01149,18.0533,0.672,4.67274,12.0196
2.909,3.78367,33.6224,4.507,5.91585,18.3878,0.673,4.46149,12.2027
2.91,3.904,34.1744,4.508,5.82527,18.7725,0.674,4.33124,12.3804
2.911,4.03932,34.7582,4.509,5.75853,19.1937,0.675,4.2514,12.552
2.912,4.17092,35.345,4.51,5.73212,19.5357,0.676,4.23022,12.7343
2.913,4.30566,35.8813,4.511,5.70067,19.8307,0.677,4.21842,12.9273
2.914,4.42236,36.3538,4.512,5.70706,20.1287,0.678,4.24083,13.1103
2.915,4.55897,36.6283,4.513,5.72373,20.4417,0.679,4.26389,13.2762
2.916,4.673,36.7547,4.514,5.7467,20.7534,0.68,4.29031,13.4301
2.917,4.76551,36.8162,4.515,5.78654,21.0633,0.681,4.3154,13.5759
2.918,4.83922,36.8156,4.516,5.85666,21.3526,0.682,4.36645,13.7257
2.919,4.94378,36.7974,4.517,5.91454,21.625,0.683,4.39708,13.8817
2.92,5.01805,36.7521,4.518,5.98634,21.8873,0.684,4.43135,14.0445
2.921,5.09721,36.669,4.519,6.05263,22.1474,0.685,4.4743,14.2102
2.922,5.14823,36.6158,4.52,6.14784,22.4022,0.686,4.52602,14.3882
2.923,5.18787,36.6438,4.521,6.2211,22.6507,0.687,4.56142,14.5723
2.924,5.22669,36.715,4.522,6.30154,22.881,0.688,4.60608,14.7548
2.925,5.27425,36.8756,4.523,6.385,23.0956,0.689,4.6415,14.937
2.926,5.30911,37.0487,4.524,6.4908,23.2898,0.69,4.69155,15.1221
2.927,5.37015,37.2921,4.525,6.58177,23.4932,0.691,4.72157,15.3116
2.928,5.39658,37.5579,4.526,6.68834,23.7173,0.692,4.76468,15.4951
2.929,5.44126,37.83,4.527,6.76881,23.9529,0.693,4.80194,15.6761
2.93,5.44724,38.0769,4.528,6.83517,24.1805,0.694,4.84431,15.8575
2.931,5.44524,38.1844,4.529,6.90413,24.4066,0.695,4.89397,16.0433
2.932,5.4243,38.2064,4.53,6.93896,24.6176,0.696,4.95003,16.2371
2.933,5.43895,38.0875,4.531,6.95979,24.8382,0.697,4.98266,16.44
2.934,5.44324,37.8804,4.532,6.97564,25.0624,0.698,5.01772,16.6631
2.935,5.46594,37.6421,4.533,6.9739,25.2919,0.699,5.05243,16.8934
2.936,5.53414,37.3553,4.534,6.99584,25.5206,0.7,5.09279,17.1158
2.937,5.68553,37.0226,4.535,7.00746,25.7631,0.701,5.15148,17.3368
2.938,5.93599,36.7379,4.536,7.03557,26.0274,0.702,5.19,17.5613
2.939,6.39655,36.5275,4.537,7.04504,26.3024,0.703,5.21929,17.7868
